Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Convenience of location,2,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,"Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, More engaging learning environment",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location",Flexibility in schedule,4,Lack of interaction with peers,Very often,Very satisfied,Yes,Doubt clarity,Very satisfied,Good,Strongly agree,Online,Online
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Technical difficulties",Sometimes,Satisfied,Yes,"Easier to focus, More engaging learning environment",Neutral,Good,Agree,Online,Online
Graduate,Male,Engineering,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time, ","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments, ",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear, ",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity, ",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,Yes,More structured schedule,Neutral,Average,Neutral,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,Difficulty staying motivated,Rarely,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Excellent,Neutral,Online,Online
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Interaction with peers/instructors","Flexibility in schedule, Cost",3,"Poor internet connection, Lack of interaction with peers",Sometimes,Neutral,Yes,"Better interaction with instructors, More structured schedule",Neutral,Average,Neutral,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Quality of education, Interaction with peers/instructors, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Satisfied,Good,Agree,Online,Online
Graduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Quality of education","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Very often,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Cost, Convenience of location, Availability of courses",4,Lack of interaction with peers,Sometimes,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Disagree,Online,Online
Graduate,Female,Science,Foreign (International) student,Not working,Offline (In-person),No,"Convenience of location, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Doubts remain unclear",Very often,Satisfied,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education","Flexibility in schedule, Convenience of location",5,"Poor internet connection, Lack of interaction with peers, Lack of access to course materials",Never,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,Lack of access to course materials,Very often,Neutral,Yes,Better interaction with instructors,Neutral,Average,Neutral,Online,Online
Graduate,Male,Arts,Domestic student,Part-time,Offline (In-person),Yes,"Cost, Quality of education, Interaction with peers/instructors, Avoiding travel/commute time","Flexibility in schedule, Convenience of location, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear",Sometimes,Unsatisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),No,Cost,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,Cost,Face-to-face interaction with instructors and peers,5,Poor internet connection,Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Good,Strongly disagree,Online,Online
Undergraduate,Female,Medical,Domestic student,Full-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Technical difficulties,Rarely,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,3,Difficulty staying motivated,Rarely,Very unsatisfied,No,More engaging learning environment,Satisfied,Good,Neutral,Online,Offline
High School,Male,Medical,Domestic student,Full-time,Online,No,Interaction with peers/instructors,Convenience of location,5,Lack of access to course materials,Sometimes,Neutral,No,More structured schedule,Neutral,Average,Disagree,Offline,Online
Graduate,Male,Engineering,Domestic student,Full-time,Online,No,Cost,Face-to-face interaction with instructors and peers,5,Difficulty staying motivated,Rarely,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Offline,Offline
Graduate,Prefer not to say,Medical,Foreign (International) student,Not working,Online,Yes,Interaction with peers/instructors,Cost,5,Technical difficulties,Rarely,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Strongly disagree,Online,Offline
High School,Male,Engineering,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,5,Technical difficulties,Never,Very unsatisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Strongly disagree,Offline,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Online,Yes,Quality of education,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,More structured schedule,Neutral,Very poor,Strongly disagree,Offline,Offline
Graduate,Prefer not to say,Science,Foreign (International) student,Not working,Online,No,Quality of education,Prefer in-person exams and assessments,1,Doubts remain unclear,Sometimes,Very unsatisfied,No,Better interaction with instructors,Neutral,Poor,Disagree,Offline,Offline
Graduate,Male,Science,Foreign (International) student,Not working,Online,Yes,Interaction with peers/instructors,Cost,5,Doubts remain unclear,Never,Very unsatisfied,No,Easier to focus,Very unsatisfied,Poor,Neutral,Online,Offline
Graduate,Prefer not to say,Science,Foreign (International) student,Full-time,Offline (In-person),No,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,5,Technical difficulties,Never,Very unsatisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Disagree,Offline,Offline
Undergraduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,5,Technical difficulties,Very often,Very unsatisfied,Yes,More engaging learning environment,Very unsatisfied,Average,Strongly disagree,Offline,Offline
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Part-time,Online,Yes,Cost,Flexibility in schedule,5,Poor internet connection,Rarely,Neutral,No,Easier to focus,Neutral,Average,Neutral,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,Cost,Face-to-face interaction with instructors and peers,5,Lack of access to course materials,Rarely,Neutral,Yes,More structured schedule,Neutral,Average,Neutral,Online,Online
Graduate,Female,Medical,Foreign (International) student,Part-time,Online,Yes,Cost,Face-to-face interaction with instructors and peers,5,Technical difficulties,Sometimes,Neutral,Yes,More structured schedule,Neutral,Average,Neutral,Online,Online
High School,Female,Information & Technology,Foreign (International) student,Part-time,Online,Yes,Cost,Face-to-face interaction with instructors and peers,5,Doubts remain unclear,Rarely,Neutral,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Economics,Domestic student,Full-time,Offline (In-person),No,Convenience of location,Convenience of location,5,Lack of access to course materials,Rarely,Unsatisfied,Yes,More engaging learning environment,Neutral,Average,Agree,Online,Online
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Interaction with peers/instructors,Quality of education,3,Difficulty staying motivated,Very often,Unsatisfied,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Disagree,Offline,Offline
High School,Female,Medical,Domestic student,Part-time,Offline (In-person),No,Flexibility in schedule,Availability of courses,4,Difficulty staying motivated,Sometimes,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Disagree,Online,Online
Undergraduate,Female,Arts,Foreign (International) student,Full-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,4,Lack of access to course materials,Sometimes,Very satisfied,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Offline,Online
High School,Male,Economics,Foreign (International) student,Full-time,Offline (In-person),Yes,Convenience of location,Convenience of location,3,Doubts remain unclear,Sometimes,Satisfied,Yes,More engaging learning environment,Neutral,Average,Agree,Offline,Online
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Part-time,Online,No,Avoiding travel/commute time,Quality of education,2,Difficulty staying motivated,Very often,Satisfied,Yes,Doubt clarity,Neutral,Average,Agree,Offline,Online
High School,Prefer not to say,Arts,Domestic student,Not working,Online,Yes,Convenience of location,Flexibility in schedule,5,Lack of access to course materials,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Disagree,Offline,Online
High School,Female,Engineering,Domestic student,Full-time,Offline (In-person),No,Availability of courses,Convenience of location,4,Lack of access to course materials,Never,Satisfied,Yes,More structured schedule,Satisfied,Good,Neutral,Online,Offline
Graduate,Male,Engineering,Foreign (International) student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Prefer in-person exams and assessments,4,Difficulty staying motivated,Very often,Satisfied,No,More structured schedule,Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Disagree,Online,Online
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Availability of courses,Flexibility in schedule,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Disagree,Online,Online
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly disagree,Online,Online
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Disagree,Online,Online
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Availability of courses,Face-to-face interaction with instructors and peers,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Hr,Foreign (International) student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Difficulty staying motivated,Very often,Unsatisfied,Yes,Easier to focus,Neutral,Good,Strongly agree,Online,Offline
Undergraduate,Male,Economics,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,1,Doubts remain unclear,Rarely,Neutral,Yes,Better interaction with instructors,Unsatisfied,Average,Strongly agree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Full-time,Online,No,Flexibility in schedule,Cost,4,Doubts remain unclear,Rarely,Satisfied,No,Easier to focus,Satisfied,Excellent,Disagree,Offline,Online
High School,Male,Arts,Foreign (International) student,Part-time,Online,Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,4,Poor internet connection,Rarely,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Excellent,Agree,Online,Offline
High School,Male,Economics,Domestic student,Not working,Offline (In-person),No,Availability of courses,Cost,1,Technical difficulties,Rarely,Very satisfied,Yes,More structured schedule,Very satisfied,Poor,Strongly agree,Offline,Offline
Undergraduate,Female,Medical,Domestic student,Not working,Online,Yes,Convenience of location,Convenience of location,5,Lack of access to course materials,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Strongly agree,Online,Online
High School,Prefer not to say,Business,Foreign (International) student,Full-time,Offline (In-person),Yes,Availability of courses,Convenience of location,4,Technical difficulties,Rarely,Satisfied,Yes,Better interaction with instructors,Unsatisfied,Poor,Agree,Online,Offline
Undergraduate,Male,Medical,Domestic student,Full-time,Offline (In-person),Yes,Convenience of location,Availability of courses,2,Technical difficulties,Sometimes,Unsatisfied,Yes,Easier to focus,Satisfied,Good,Strongly agree,Offline,Online
High School,Female,Medical,Domestic student,Part-time,Offline (In-person),Yes,Cost,Quality of education,4,Technical difficulties,Never,Satisfied,Yes,Easier to focus,Unsatisfied,Good,Strongly agree,Online,Online
Graduate,Prefer not to say,Economics,Domestic student,Full-time,Offline (In-person),No,Quality of education,Prefer in-person exams and assessments,5,Doubts remain unclear,Never,Very unsatisfied,No,Doubt clarity,Very unsatisfied,Very poor,Strongly disagree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,4,Lack of access to course materials,Never,Neutral,Yes,More engaging learning environment,Satisfied,Good,Strongly agree,Online,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,3,Difficulty staying motivated,Rarely,Neutral,No,More engaging learning environment,Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),No,Convenience of location,Cost,3,Lack of interaction with peers,Sometimes,Neutral,No,More engaging learning environment,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Cost,4,Technical difficulties,Sometimes,Neutral,No,Better interaction with instructors,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Availability of courses,Availability of courses,4,Difficulty staying motivated,Rarely,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Not working,Online,Yes,Flexibility in schedule,Convenience of location,4,Technical difficulties,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Online,Online
Graduate,Male,Economics,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Convenience of location,4,Technical difficulties,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Agree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Neutral,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
High School,Male,Medical,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Flexibility in schedule,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Online,Online
Graduate,Female,Arts,Domestic student,Part-time,Offline (In-person),Yes,Convenience of location,Cost,3,Lack of interaction with peers,Sometimes,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Online,Online
Undergraduate,Prefer not to say,Economics,Domestic student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Lack of interaction with peers,Rarely,Neutral,Yes,Easier to focus,Neutral,Average,Neutral,Online,Online
High School,Female,Science,Domestic student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Lack of interaction with peers,Sometimes,Neutral,Yes,Easier to focus,Neutral,Good,Neutral,Online,Online
Graduate,Male,Medical,Foreign (International) student,Full-time,Online,Yes,Flexibility in schedule,Cost,3,Lack of interaction with peers,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Good,Strongly agree,Online,Online
Undergraduate,Female,Economics,Domestic student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Lack of interaction with peers,Sometimes,Neutral,No,Better interaction with instructors,Satisfied,Good,Agree,Online,Online
High School,Prefer not to say,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,Quality of education,Quality of education,3,Poor internet connection,Sometimes,Neutral,No,More engaging learning environment,Satisfied,Good,Agree,Online,Online
Undergraduate,Prefer not to say,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Quality of education,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,More engaging learning environment,Neutral,Good,Neutral,Online,Online
Graduate,Prefer not to say,Business,Domestic student,Not working,Online,Yes,Quality of education,Convenience of location,3,Lack of interaction with peers,Sometimes,Neutral,No,More engaging learning environment,Satisfied,Good,Agree,Online,Online
Undergraduate,Prefer not to say,Economics,Domestic student,Not working,Offline (In-person),Yes,Quality of education,Quality of education,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,More engaging learning environment,Neutral,Good,Neutral,Online,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Quality of education,3,Lack of interaction with peers,Sometimes,Satisfied,No,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,3,Poor internet connection,Sometimes,Satisfied,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Agree,Online,Online
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Quality of education,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,Better interaction with instructors,Neutral,Good,Agree,Online,Offline
Graduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Availability of courses,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,More engaging learning environment,Neutral,Good,Agree,Offline,Offline
Undergraduate,Male,Science,Foreign (International) student,Not working,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,3,Technical difficulties,Very often,Unsatisfied,No,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Satisfied,No,More structured schedule,Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Arts,Foreign (International) student,Not working,Online,Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Online,Online
Graduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,2,Lack of access to course materials,Sometimes,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Face-to-face interaction with instructors and peers,3,Lack of interaction with peers,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Prefer not to say,Medical,Domestic student,Not working,Offline (In-person),Yes,Convenience of location,Face-to-face interaction with instructors and peers,3,Technical difficulties,Sometimes,Neutral,Yes,Better interaction with instructors,Satisfied,Good,Agree,Offline,Offline
High School,Female,Business,Domestic student,Part-time,Offline (In-person),Yes,Convenience of location,Face-to-face interaction with instructors and peers,4,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,Interaction with peers/instructors,Convenience of location,4,Difficulty staying motivated,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Average,Agree,Offline,Offline
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Availability of courses,Quality of education,4,Lack of interaction with peers,Sometimes,Satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Graduate,Female,Engineering,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Cost,4,Lack of access to course materials,Sometimes,Neutral,Yes,Better interaction with instructors,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Prefer not to say,Medical,Domestic student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,2,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
High School,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),No,Quality of education,Cost,2,Difficulty staying motivated,Sometimes,Satisfied,No,Easier to focus,Satisfied,Excellent,Agree,Offline,Offline
Graduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Flexibility in schedule,2,Lack of interaction with peers,Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Average,Agree,Offline,Offline
Graduate,Male,Science,Domestic student,Part-time,Online,Yes,Flexibility in schedule,Cost,2,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Average,Agree,Offline,Offline
High School,Female,Arts,Domestic student,Not working,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,3,Difficulty staying motivated,Sometimes,Neutral,No,More engaging learning environment,Very satisfied,Good,Agree,Offline,Offline
Graduate,Female,Business,Foreign (International) student,Not working,Offline (In-person),Yes,Interaction with peers/instructors,Quality of education,2,Difficulty staying motivated,Sometimes,Neutral,No,More engaging learning environment,Satisfied,Average,Agree,Offline,Offline
Graduate,Male,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,Cost,Cost,3,Difficulty staying motivated,Sometimes,Satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Business,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Cost,3,Lack of interaction with peers,Sometimes,Unsatisfied,No,More engaging learning environment,Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Flexibility in schedule,3,Technical difficulties,Rarely,Neutral,No,Easier to focus,Satisfied,Average,Agree,Offline,Offline
Graduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Cost,Cost,2,Lack of interaction with peers,Rarely,Neutral,No,Easier to focus,Satisfied,Good,Neutral,Offline,Offline
Graduate,Female,Arts,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Quality of education,2,Lack of interaction with peers,Sometimes,Neutral,No,Easier to focus,Satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,Cost,Convenience of location,3,Lack of interaction with peers,Rarely,Unsatisfied,No,More engaging learning environment,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Quality of education,Cost,3,Lack of interaction with peers,Never,Neutral,Yes,More engaging learning environment,Very satisfied,Excellent,Neutral,Offline,Offline
Graduate,Male,Business,Domestic student,Part-time,Online,Yes,Flexibility in schedule,Quality of education,3,Technical difficulties,Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Arts,Foreign (International) student,Not working,Offline (In-person),No,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,4,Technical difficulties,Very often,Satisfied,No,More structured schedule,Very satisfied,Excellent,Neutral,Offline,Offline
Graduate,Male,Economics,Domestic student,Part-time,Online,Yes,Availability of courses,Prefer in-person exams and assessments,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Strongly agree,Online,Online
Graduate,Male,Medical,Foreign (International) student,Part-time,Offline (In-person),No,Availability of courses,Prefer in-person exams and assessments,3,Lack of access to course materials,Sometimes,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Part-time,Online,Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,5,Technical difficulties,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Online,Online
Graduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,Face-to-face interaction with instructors and peers,3,Technical difficulties,Sometimes,Satisfied,No,Easier to focus,Satisfied,Poor,Agree,Offline,Offline
Graduate,Male,Economics,Domestic student,Part-time,Online,Yes,Avoiding travel/commute time,Quality of education,4,Lack of access to course materials,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Strongly agree,Online,Online
